model,training_seed,condition,successes,rollouts,success_rate,average_return
single_top,0,missing_top,0,50,0.0,0.00
single_top,0,occlusion_top,0,50,0.0,20.16
single_top,1,missing_top,0,50,0.0,0.00
single_top,1,occlusion_top,0,50,0.0,1.00
single_top,2,missing_top,0,50,0.0,0.12
single_top,2,occlusion_top,0,50,0.0,12.90
single_side,0,missing_side,0,50,0.0,0.00
single_side,0,occlusion_side,0,50,0.0,0.40
single_side,1,missing_side,0,50,0.0,0.00
single_side,1,occlusion_side,0,50,0.0,2.44
single_side,2,missing_side,0,50,0.0,0.00
single_side,2,occlusion_side,0,50,0.0,0.00
multi,0,missing_top,0,50,0.0,0.06
multi,0,occlusion_top,0,50,0.0,22.28
multi,0,missing_side,0,50,0.0,1.62
multi,0,occlusion_side,0,50,0.0,22.82
multi,1,missing_top,0,50,0.0,1.16
multi,1,occlusion_top,0,50,0.0,1.00
multi,1,missing_side,0,50,0.0,0.44
multi,1,occlusion_side,0,50,0.0,20.42
multi,2,missing_top,0,50,0.0,19.92
multi,2,occlusion_top,0,50,0.0,30.36
multi,2,missing_side,0,50,0.0,0.06
multi,2,occlusion_side,0,50,0.0,15.88
